,id,sponsor,event,venue,place,date,location,page_count,dish_count
8883,26304,MEXICAN AMERICAN STEAMSHIP COMPANY,"BANQUET ON RECEPTION OF SILVER SERVICE GIVEN BY THE CHAMBER OF COMMERCE OF TAMPICO, MEXICO",COMMERCIAL,ABOARD S.S. CITY OF TAMPICO,1/4/1906,Mexican American Steamship Company,12,22
8884,26305,HOTEL SAVOY,BREAKFAST,COMMERCIAL,"FIFTH AVENUE AND 59TH ST., NY",1/12/1900,Hotel Savoy,2,106
8885,26306,BIRMINGHAM PRESS CLUB,FIFTH ANNUAL BANQUET,PROF;,"HILLMAN HOTEL, BIRMINGHAM, AL",4/5/1907,Birmingham Press Club,24,24
8886,26307,PINE FOREST INN,LUNCH,COMMERCIAL,"SUMMERVILLE, S.C.",1/22/1901,Pine Forest Inn,2,34
8888,26309,MR. DE LA MAR,DINNER-DANCE,SOCIAL,"THE ARLINGTON,WASH.DC.",1892-02-25,Mr. De La Mar,2,26
8890,26314,HAMBURG AMERIKA LINIE,(DINNER),COMMERCIAL,EXPRESS-STEAMER AUGUSTE VICTORIA,1899-08-30,Hamburg Amerika Linie,4,28
8892,26316,CORPS CONSULAIRE,2ND ANNUAL BANQUET,PROF;,"NEW ORLEANS, LA",1888-02-06,Corps Consulaire,2,27
8893,26319,GRAND MASTER OF NEW YORK,"DINNER IN HONOR OF MOST WORSHIPFUL JOSIAH W. EWAN, GRAND MASTER OF MASONS OF STATE OF NEW JERSEY",SOC;,"DEMOCRATIC CLUB, NEW YORK, NY",1899-11-23,Grand Master Of New York,12,23
8894,26322,MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES COMMANDERY OF THE STATE OF INDIANA,IN COMMEMORATION OF OUR LATE COMPANION AND COMMANDER GENERAL WALLACE,MIL;,"COLUMBIA CLUB, INDIANAPOLIS",5/5/1905,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Indiana,22,66
8895,26323,ALUMNI CLASS OF CCNY,10NTH REUNION DINNER,SOC;,"HOTEL MARLBOROUGH,NY",1891-02-20,Alumni Class Of Ccny,4,27
8897,26329,NORDDEUTCHER LLOYD BREMEN,BREAKFAST,COMMERCIAL,KAISER FRIEDRICH AT SEA,1899-04-14,Norddeutcher Lloyd Bremen,2,67
8898,26330,SILK ASSOCIATION OF AMWEICA,28 ANNIVERSARY DINNER,PROF;,DELMONICO'S  NY,2/8/1900,Silk Association Of Amweica,8,20
8899,26331,ATLANTA CHAMBER OF COMMERCE,FIRST ANNUAL BANQUET,POL;,"THE KIMBALL, [ATLANTA GA?]",1890-02-13,Atlanta Chamber Of Commerce,4,26
8900,26333,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,SS HOHENZOLLERN,4/24/1901,Norddeutscher Lloyd Bremen,2,64
8901,26334,THE ECONOMIC CLUB OF NEW YORK,DINNER,SOC;,HOTEL ASTOR,2/5/1908,The Economic Club Of New York,6,18
8902,26335,NORDDEUTSCHER LLOYD - BREMEN,DINNER,COM,ON BOARD S.S.KRONPRINZESSIN CECILE,8/26/1907,Norddeutscher Lloyd   Bremen,2,14
8903,26336,LONGFELLOW CENTENARY,DINNER,SOC;,"NATIONAL ARTS CLUB, NEW YORK, NY",2/27/1907,Longfellow Centenary,2,13
8919,26353,Holland-America Line,Dinner,STEAMSHIP,S.S. Rotterdam,7/29/1963,Holland America Line,3,6
8920,26354,Holland-America Line,Dinner,STEAMSHIP,S.S. Rotterdam,7/29/1963,Holland America Line,3,6
8928,26364,Rogano Restaurant & Sea Food Bar,Lunch,RESTAURANT,Rogano Restaurant & Sea Food Bar,7/6/1964,Rogano Restaurant & Sea Food Bar,1,21
