,id,sponsor,event,venue,place,date,location,page_count,dish_count
0,12463,HOTEL EASTMAN,BREAKFAST,COMMERCIAL,"HOT SPRINGS, AR",4/15/1900,Hotel Eastman,2,67
1,12464,REPUBLICAN HOUSE,[DINNER],COMMERCIAL,"MILWAUKEE, [WI];",4/15/1900,Republican House,2,34
2,12465,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK/BREAKFAST;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/16/1900,Norddeutscher Lloyd Bremen,2,84
3,12466,NORDDEUTSCHER LLOYD BREMEN,LUNCH;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/16/1900,Norddeutscher Lloyd Bremen,2,63
4,12467,NORDDEUTSCHER LLOYD BREMEN,DINNER;,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/16/1900,Norddeutscher Lloyd Bremen,4,33
5,12468,CANADIAN PACIFIC RAILWAY COMPANY,[DINNER],COMMERCIAL,R.M.S. EMPRESS OF CHINA,4/16/1900,Canadian Pacific Railway Company,2,37
6,12469,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, [NY];",4/16/1900,Hotel Netherland,2,144
7,12470,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK/BREAKFAST,COMMERCIAL,SCHNELLDAMPFER KAISER WILHELM DER GROSSE;,4/17/1900,Norddeutscher Lloyd Bremen,2,80
8,12471,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/17/1900,Norddeutscher Lloyd Bremen,2,67
9,12472,NORDDEUTSCHER LLOYD BREMEN,[DINNER],COMMERCIAL,DAMPFER KAISER WILHELM DER GROSSE;,4/17/1900,Norddeutscher Lloyd Bremen,4,29
10,12473,HOTEL MARLBOROUGH,CAFE LUNCHEON,COMMERCIAL,"[NEW YORK, NY]",4/17/1900,Hotel Marlborough,2,19
11,12474,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, [NEW YORK, NY];",4/17/1900,Alpha Of Zeta Psi,12,38
12,12475,MANHATTAN HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",4/18/1900,Manhattan Hotel,2,176
13,12476,PACIFIC MAIL STEAMSHIP COMPANY,DINNE,COMMERCIAL,"S.S. ""CITY OF PARA""",4/18/1900,Pacific Mail Steamship Company,4,21
14,12477,OCCIDENTAL & ORIENTAL,BREAKFAST,COMMERCIAL,"S.S. ""DORIC""",4/18/1900,Occidental & Oriental,2,24
16,12479,OCCIDENTAL & ORIENTAL STEAMSHIP COMPANY,DINNER,COMMERCIAL,"S.S. ""DORIC""",4/18/1900,Occidental & Oriental Steamship Company,4,44
17,12480,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",4/18/1900,Canadian Pacific Railway Company,2,37
18,12481,CANADIAN PACIFIC RAILWAY COMPANY,LUNCHEON,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",4/18/1900,Canadian Pacific Railway Company,2,42
20,12483,MANHATTAN HOTEL,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",4/18/1900,Manhattan Hotel,2,129
21,12484,BOSTON BOOT & SHOE CLUB,ANNUAL MEETING,COMMERCIAL,"BRUNSWICK HOTEL, BOSTON, MA",4/18/1900,Boston Boot & Shoe Club,6,24
22,12485,CANADIAN PACIFIC RAILWAY,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,4/19/1900,Canadian Pacific Railway,2,36
23,12486,HOTEL SAVOY,DINNER,COMMERCIAL,NEW YORK,4/19/1900,Hotel Savoy,2,15
24,12487,PACIFIC MAIL STEAMSHIP CO.,LUNCH,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,4/19/1900,Pacific Mail Steamship Co.,2,13
25,12488,CHI PSI FRATERNITY,BANQUET OF THE FIFTY NINTH ANNUAL CONVENTION,SOC;,"HOLLAND HOUSE, NEW YORK CITY",4/20/1900,Chi Psi Fraternity,4,19
26,12489,COLBY ALUMNI ASSOCIATION OF NEW YORK,FIFTH ANNUAL REUNION,SOC;,ST. DENIS HOTEL (NEW YORK?),4/20/1900,Colby Alumni Association Of New York,4,21
27,12490,HOTEL IMPERIAL,DINNER,COMMERCIAL,"(VIENNA, AUSTRIA ?)",4/20/1900,Hotel Imperial,2,16
28,12491,WHITEFRIARS CLUB,SHAKEPEARE COMMEMORATION,SOC;,"ANDERTON'S HOTEL, FLEET STREET, E.C. (ENGLAND?)",4/20/1900,Whitefriars Club,2,13
29,12492,WILSON COLLEGE ALUMNAE ASSOCIATION,DINNER,EDUC;,HOEL FLANDERS,4/20/1900,Wilson College Alumnae Association,10,14
30,12493,CANADIAN PACIFIC RAILWAY,LUNCH,COMMERCIAL,EN ROUTE ABOARD R.M.S. EMPRESS OF CHINA,4/20/1900,Canadian Pacific Railway,2,39
31,12494,KNIGHTS OF REVELRY,26TH ANNIVERSARY BANQUET,SOC;,"GERMAN RELIEF HALL, MOBILE AL",4/21/1900,Knights Of Revelry,8,22
32,12495,VETERANS AMERICAN GUARD,TWENTY-NINTH ANNUAL DINNER,MIL;,ST. DENNIS HOTEL,4/20/1900,Veterans American Guard,8,20
33,12497,CUNARD LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD R.M.S. LUCANIA,4/21/1900,Canadian Pacific Railway Company,2,38
34,12498,CAFE BOULEVARD,SUNDAY DINNER,COMMERCIAL,156 SECOND AVENUE (NY?),4/22/1900,Cafe Boulevard,2,17
35,12499,PACIFIC MAIL STEAMSHIP CO.,LUNCH;,COMMERCIAL,EN ROUTE ABOARD PANAMA LINE STEAMSHIP CITY OF PARA,4/22/1900,Pacific Mail Steamship Co.,2,14
36,12500,MORNING NEWSPAPER BOWLING LEAGUE,SECOND ANNUAL DINNER,SOC;,MOUQUIN'S,4/22/1900,Morning Newspaper Bowling League,2,23
37,12501,CUNARD LINE,BREAKFAST,COMMERCIAL,RMS LUCANIA,4/23/1900,Cunard Line,2,97
38,12502,CUNARD LINE,LUNCHEON,COMMERCIAL,RMS LUCANIA,4/23/1900,Cunard Line,2,90
39,12503,POLICE DEPARTMENT OF THE CITY OF NEW YORK,SEVENTH ANNUAL DINNER,GOVT;,DELMONICO'S,12-31-2200,Police Department Of The City Of New York,3,30
40,12504,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,2/18/1900,U.S.M.S. New York,2,99
41,12505,BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,2/18/1900,Bartholdi Hotel,2,203
42,12506,BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,2/18/1900,Bartholdi Hotel,4,336
43,12507,HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,2/19/1900,Haan's,2,392
44,12508,MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,2/19/1900,Marie Antoinette Hotel,2,82
45,12509,RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,2/20/1900,Red Star Line   S.S.Southwark,2,56
46,12510,MARIE ANTOINETTE HOTEL,DINNER,COMMERCIAL,66 ST. & B'WAY. NY,2/20/1900,Marie Antoinette Hotel,2,128
47,12511,THIRD PANEL SHERIFF'S JURY NEW YORK COUNTY,ANNUAL DINNER,POL;,"HOTEL SAVOY,NEW YORK,NY",2/20/1900,Third Panel Sheriff's Jury New York County,12,35
48,12515,THE ALBANY,LUNCH,?,"DENVER, COLO;",1888-10-15,The Albany,2,30
49,12516,REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",1865-09-28,Parker House,4,422
50,12517,NATIONAL VERBANDES DEUTSCH AMERIKANISCHER JOURNALISTEN UND SCHRIFTSTELLER (UNUSUAL),FEST-BANKETT,RESTAURANT,DER LIEDERKRANZ HALLE,1892-05-19,National Verbandes Deutsch Amerikanischer Journalisten Und Schriftsteller (Unusual),2,21
51,12518,COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET,[NEW YORK,NY?]",6/3/1901,Columbia Restaurant,4,475
52,12519,MRS CLUFF,LUNCH,OTHER (PRIVATE PARTY);,"RED ROOM,BOHEMIAN CLUB",6/4/1901,Mrs Cluff,4,15
53,12520,BAILY CATERING CO.THE,LUNCHEON,COMMERCIAL,"MIRROR LAKE PERGOLA,PAN-AMERICAN EXPOSITION",6/5/1901,Baily Catering Co.The,7,18
54,12522,NORTHERN STEAMSHIP CO.,BREAKFAST,COMMERCIAL,GREAT NORTHERN RY. LINE,1/1/1901,Northern Steamship Co.,4,12
55,12523,CITIZENS'STEAMBOAT COMPANY,LUNCH,COMMERCIAL,"STEAMER SARATOGA,TROY LINE",1/1/1901,Citizens'steamboat Company,8,246
56,12524,NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,DINNER,COMMERCIAL,"COUNTRY CLUB,GROSSE POINTE,MI",6/5/1901,National Association Of Manufacturers Of The United States Of America,4,18
57,12525,HAMBURG-AMERIKA LINIE,DINNER,COMMERCIAL,"SCHNELLDAMPFER ""COLUMBIA""",2/25/1900,Hamburg Amerika Linie,4,28
59,12527,CUNARD LINE,DINNER,COMMERCIAL,"R.M.S. ""CAMPANIA""",2/26/1900,Cunard Line,2,93
60,12528,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. "" CAMPANIA""",2/26/1900,Cunard Line,2,87
61,12529,NEW YORK MEDICAL CLUB,DINNER,PROF;,"MANHATTAN HOTEL, NEW YORK, NY",2/26/1900,New York Medical Club,4,17
62,12530,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""WESTERNLAND""",2/26/1900,Red Star Line,2,16
63,12531,RED STAR LINE,BREAKFAST,COMMERCIAL,"S.S. ""SOUTHWARK""",2/26/1900,Red Star Line,2,18
64,12532,RED STAR LINE,LUNCH,COMMERCIAL,"S.S. ""SOUTHWARK""",2/26/1900,Red Star Line,2,18
65,12533,RED STAR LINE,DINNER,COMMERCIAL,"S.S. ""SOUTHWARK""",2/26/1900,Red Star Line,2,55
66,12534,PABST BLUE RIBBON,DINNER,COMMERCIAL,PABST BLUE RIBBON,3/11/1900,Pabst Blue Ribbon,2,52
67,12535,MAXWELL HOUSE,DINNER,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",3/11/1900,Maxwell House,2,30
68,12536,MAXWELL HOUSE,LUNCHEON,COMMERCIAL,"MAXWELL HOUSE, NASHVILLE, [TN];",3/11/1900,Maxwell House,2,23
69,12537,CUNARD LINE,BREAKFAST,COMMERCIAL,R.M.S. ETRURIA,3/11/1900,Cunard Line,2,90
70,12538,HADDON HALL,DINNER,COMMERCIAL,"ATLANTIC CITY, NJ",3/27/1900,Haddon Hall,2,53
71,12539,GOULD'S HOTEL CAFE,DAILY MENU,COMMERCIAL,BOSTON; MA,3/29/1900,Gould's Hotel Cafe,4,539
72,12545,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 TO 3;00,COMMERCIAL,"137 E. MADISON ST.,CHICAGO,ILL.",3/30/1900,German Restaurant & Buffet,4,113
73,12546,MR. JOHN MORGAN,DINNER TO THE BOARD OF OFFICERS OF THE CATHOLIC CLUB OF THE CITY OF NEW YORK,RELIG;,"CATHOLIC CLUB, BANQUET HALL,NY",6/6/1901,Mr. John Morgan,4,19
74,12549,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,SS VENTURA;,6/6/1901,Oceanic Steamship Company,2,35
75,12550,OCEANIC STEAMSHIP COMPANY,DINNER,COMMERCIAL,SS VENTURA;,6/6/1901,Oceanic Steamship Company,2,42
76,12551,NORDDEUTSCHER LLOYD  BREMEN,SUPPER(?),COMMERCIAL,EN ROUTE ABOARD KONIGIN LUISE,6/6/1901,Norddeutscher Lloyd  Bremen,2,20
77,12552,RHODE ISLAND MEDICAL SOCIETY,DINNER,PROF;,"PROVIDENCE, RI",6/6/1901,Rhode Island Medical Society,2,18
78,12553,OCEANIC STEAMSHIP COMPANY,LUNCH,COMMERCIAL,EN ROUTE ABOARD SS VENTURA,6/7/1901,Oceanic Steamship Company,2,39
79,12554,HOTEL DEL CORONADO,LUNCHEON,COMMERCIAL,"CORONADO BEACH, CA",8/21/1900,Hotel Del Coronado,2,58
80,12555,LONG BEACH HOTEL,ANNUAL OUTING OF EDWARD THOMPSON CO.,COMMERCIAL,"LONG BEACH, LI, [NY];",8/21/1900,Long Beach Hotel,2,20
81,12556,GRAND HOTEL L'D.,DINNER,COMMERCIAL,"YOKOHAMA, JAPAN",8/21/1900,Grand Hotel L'd.,4,152
82,12557,HOTEL VICTORY,DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, OH;",8/22/1900,Hotel Victory,2,36
83,12558,BRISTOL HOTEL,DINNER,COMMERCIAL,"NAPLES, ITALY",2/26/1900,Bristol Hotel,2,11
84,12559,ASSOCIATION OF EMPLOYING BOOKBINDERS,BANQUET,PROF;,"SAVOY HOTEL, NEW YORK, NY",2/26/1900,Association Of Employing Bookbinders,8,30
86,12561,R.M.S. OCEANIC,LUNCH,COMMERCIAL,EN ROUTE,2/27/1900,R.M.S. Oceanic,2,30
87,12562,CUNARD LINE,BREAKFAST,COMMERCIAL,EN ROUTE ON BOARD R.M.S. CAMPANIA,2/28/1900,Cunard Line,2,110
88,12563,NEW ENGLAND SHORTHAND REPORTER'S ASSOCIATION,SEMI-ANNUAL DINNER,PROF;,"UNITED STATES HOTEL,BOSTON,MA",5/12/1900,New England Shorthand Reporter's Association,4,21
89,12564,RECTOR'S,DAILY MENU,COMMERCIAL,"BROADWAY AND 44TH ST,NEW YORK,NY",5/13/1900,Rector's,6,358
90,12567,STATLER'S,DINNER,COMMERCIAL,"ELLICOTT SQUARE, BUFFALO, [NY];",5/14/1900,Statler's,2,17
91,12568,JOHN WANAMAKER,[LUNCH],COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",5/14/1900,John Wanamaker,2,72
92,12569,MAXWELL HOUSE,SUPPER,COMMERCIAL,"NASHVILLE, [TN?]",3/12/1900,Maxwell House,2,38
93,12570,MAXWELL HOUSE,DINNER,COMMERCIAL,"NASHVILLE, [TN?]",3/12/1900,Maxwell House,2,31
94,12571,"CLYDE STEAMSHIP CO., THE",DINNER,COMMERCIAL,STEAMSHIP IROQUOIS,3/12/1900,"Clyde Steamship Co., The",3,72
95,12573,MAXWELL HOUSE,BREAKFAST,COMMERCIAL,"NASHVILLE, TN",3/13/1900,Maxwell House,4,0
96,12574,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,"S.S. ""COPTIC""",3/13/1900,Occidental & Oriental Steamship Co.,2,24
97,12575,GRENOBLE HOTEL,SOUPER,COMMERCIAL,NY,3/30/1900,Grenoble Hotel,2,255
98,12576,U.S. ARMY - SUBSISTENCE DEPT.,LUNCHEON,MIL;,TRANSPORT,3/31/1900,U.S. Army   Subsistence Dept.,2,13
99,12577,HADDON HALL,SUPPER,COMMERCIAL,"[PHILADELPHIA,PA.]",3/31/1900,Haddon Hall,2,60
100,12578,HADDON HALL,DINNER,COMMERCIAL,"[PHILADELPHIA, PA]",3/31/1900,Haddon Hall,2,53
101,12579,TRUSTEES OF THE MISSOURI BOTANICAL GARDEN,11TH ANNUAL BANQUET,PROF;,"SOUTHERN HOTEL,ST. LOUIS,MO.",3/31/1900,Trustees Of The Missouri Botanical Garden,2,22
191,12700,GERMAN RESTAURANT & BUFFET,DAILY MENU - 11;30 T0 3;00,COMMERCIAL,"137 E. MADISON ST. CHICAGO, ILL.",3/31/1900,German Restaurant & Buffet,4,109
192,12702,PIONEER DINING CAR LINE,DAILY MENU,COMMERCIAL,EN ROUTE,3/31/1900,Pioneer Dining Car Line,2,46
193,12703,VENDOME HOTEL,BREAKFAST,COMMERCIAL,"BOSTON, MASS.",4/1/1900,Vendome Hotel,2,78
194,12704,NETHERLAND HOTEL,A LA CARTE MENU,COMMERCIAL,NY,4/1/1900,Netherland Hotel,4,389
195,12705,MILLS HOTEL,DINNER,COMMERCIAL,BLEECKER ST. NY,4/1/1900,Mills Hotel,2,67
196,12706,CROMWELL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,EN ROUTE,4/1/1900,Cromwell Steamship Company,2,19
198,12709,WILLARD'S HOTEL,BREAKFAST,COMMERCIAL,"[WASHINGTON,DC]",4/3/1900,Willard's Hotel,2,67
199,12710,NIPPON YUSEN KAISHA,BREAKFAST,COMMERCIAL,ABOARD SS ?,8/22/1900,Nippon Yusen Kaisha,2,14
200,12711,NIPPON YUSEN KAISHA,TIFFIN,COMMERCIAL,ABOARD SS ?,8/22/1900,Nippon Yusen Kaisha,2,18
201,12712,CINCINNATI ENQUIRER HOUSEHOLD CLUB,ANNUAL OUTING,SOC;,"HOTEL VICTORY, PUT-IN-BAY-ISLAND, LAKE ERIE, OH.",8/23/1900,Cincinnati Enquirer Household Club,4,38
202,12713,NIPPON YUSEN KAISHA,[DINNER],COMMERCIAL,ABOARD SS KOBE;,8/24/1900,Nippon Yusen Kaisha,2,15
203,12714,HOTEL VICTORY,EVENING DINNER,COMMERCIAL,"PUT-IN-BAY-ISLAND, LAKE ERIE, OH;",8/24/1900,Hotel Victory,2,34
204,12715,TOYO KISEN KAISHA,DINNER IN HONOR OF H.I.M.MUTSU-HITO 47TH BIRTHDAY,COMMERCIAL,EN ROUTE ABOARD HONG KONG MARU,11/2/1900,Toyo Kisen Kaisha,2,44
205,12716,ROUND TABLE CLUB,LUNCH,SOC;,[THE KNICKERBOCKER CLUB?],11/2/1900,Round Table Club,2,26
206,12717,ST. LOUIS HORSE SHOW ASSOCIATION,BANQUET,SOC;,SAINT LOUIS CLUB,11/3/1900,St. Louis Horse Show Association,4,18
207,12718,GRUNEWALD HOTEL,DINNER,COMMERCIAL,"NEW ORLEANS, LA",11/3/1900,Grunewald Hotel,2,21
209,12722,JOHN WANAMAKER,BREAKFAST,COMMERCIAL,"NEW YORK, [NY]",5/14/1900,John Wanamaker,2,40
210,12723,PACIFIC MAIL STEAMSHIP CO.,[DINNER],COMMERCIAL,SS CITY OF PARA,5/14/1900,Pacific Mail Steamship Co.,4,16
211,12724,JOHN WANAMAKER,DAILY MENU,COMMERCIAL,"BROADWAY & 10TH STREET, NEW YORK, [NY]",5/14/1900,John Wanamaker,4,242
212,12725,PACIFIC MAIL STEAMSHIP COMPANY,BREAKFAST,COMMERCIAL,SS RIO DE JANEIRO,5/15/1900,Pacific Mail Steamship Company,2,19
213,12726,PACIFIC MAIL STEAMSHIP COMPANY,TIFFIN,COMMERCIAL,SS RIO DE JANEIRO,5/15/1900,Pacific Mail Steamship Company,2,21
214,12728,NEW FALMOUTH HOTEL,BREAKFAST,COMMERCIAL,"PORTLAND, ME",5/16/1900,New Falmouth Hotel,2,54
215,12729,NEW FALMOUTH HOTEL,DINNER,COMMERCIAL,"PORTLAND, ME",5/16/1900,New Falmouth Hotel,2,54
216,12731,C XIII C,MENU,[SOC?];,"QUEEN CITY CLUB, [CINCINNATI, OH]",11/13/1900,C Xiii C,2,12
217,12732,DEL CORONADAO HOTEL,BREAKFAST,COMMERCIAL,"CORONADO BEACH, CA",11/13/1900,Del Coronadao Hotel,2,70
218,12733,DEL CORONADAO HOTEL,DINNER,COMMERCIAL,"CORONADO BEACH, CA",11/13/1900,Del Coronadao Hotel,2,48
219,12736,HAAN'S,LUNCH,COMMERCIAL,"75TH STREET AND COLUMBUS AVE,NEW YORK,NY",2/20/1900,Haan's,2,191
220,12737,WEST END HOTEL RESTAURANT,DAILY,COMMERCIAL,"WEST 125TH STREET,NEW YORK,NY",2/20/1900,West End Hotel Restaurant,4,378
221,12738,SAVOY HOTEL,LUNCH,COMMERCIAL,"[LONDON,ENGLAND]",2/20/1900,Savoy Hotel,2,16
223,12740,CUNARD LINE,BREAKFAST,COMMERCIAL,SS ETRURIA,2/21/1900,Cunard Line,2,95
224,12746,BATTERY PARK HOTEL,BREAKFAST,COMMERCIAL,"ASHEVILLE,NC",2/21/1900,Battery Park Hotel,2,51
225,12747,HASKIN'S RESTAURANT,BREAKFAST,COMMERCIAL,"117 WEST 34TH STREET,NEW YORK,NY",2/21/1900,Haskin's Restaurant,2,43
226,12749,CUNARD LINE,DINNER,COMMERCIAL,RMS LUCANIA,4/23/1900,Cunard Line,2,97
227,12751,CANADIAN PACIFIC RAILWAY COMPANY,BREAKFAST,COMMERCIAL,RMS EMPRESS OF CHINA,4/23/1900,Canadian Pacific Railway Company,2,35
228,12754,EVERETT HOUSE,BREAKFAST,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",4/23/1900,Everett House,4,516
229,12755,EVERETT HOUSE,BILL OF FARE,COMMERCIAL,"UNION SQUARE,NEW YORK,NY",4/23/1900,Everett House,4,579
230,12757,PACIFIC MAIL STEAMSHIP CO.,BREAKFAST,COMMERCIAL,"PANAMA LINE,CITY OF PARA",4/23/1900,Pacific Mail Steamship Co.,2,18
231,12758,PACIFIC MAIL STEAMSHIP CO.,DINNER,COMMERCIAL,"PANAMA LINE,CITY OF PARA",4/23/1900,Pacific Mail Steamship Co.,4,19
232,12759,DENTAL DEPARTMENT OF WASHINGTON UNIVERSITY,ANNUAL BANQUET,EDUC;,"SOUTHERN HOTEL,[ST.LOUIS,MO]",4/24/1900,Dental Department Of Washington University,2,24
233,12763,CANADIAN PACIFIC RAILWAY COMPANY,DNNER,COMMERCIAL,"R.M.S. ""EMPRESS OF CHINA""",4/24/1900,Canadian Pacific Railway Company,2,39
234,12764,GRAND HOTEL,"DINNER GIVEN TO MR. F.W. MANN, LIEUT. A.I.R., PREVIOUS TO HIS DEPARTURE FOR SOUTH AFRICA",COMMERCIAL,"MELBOURNE, AUSTRALIA",4/25/1900,Grand Hotel,4,12
235,12765,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"DAMPFER ""KAISER WILHELM DER GROSSE""",4/25/1900,Norddeutscher Lloyd Bremen,2,60
236,12766,NORDDEUTSCHER LLOYD BREMEN,DINNER,COMMERCIAL,"DAMPFER ""KAISER WILHELM DER GROSSE""",4/25/1900,Norddeutscher Lloyd Bremen,4,34
237,12767,CUNARD LINE,LUNCHEON,COMMERCIAL,"R.M.S. ""LUNCANIA""",4/25/1900,Cunard Line,2,97
238,12768,RED STAR LINE,DINNER,COMMERCIAL,EN ROUTE ABOARD S.S. SOUTHWARK,2/27/1900,Red Star Line,2,53
239,12769,RED STAR LINE,BREAKFAST,COMMERCIAL,EN ROUTE ABOARD S.S. WESTERNLAND;,2/28/1900,Red Star Line,2,17
240,12770,PARKER'S HOTEL (LATE TRAM0NTANO),DINNER,COMMERCIAL,NAPLES [ITALY],2/27/1900,Parker's Hotel (Late Tram0ntano),2,10
241,12771,CUNARD LINE,BREAKFAST,COMMERCIAL,EN RPUTE ABOARD R.M.S. CAMPANIA,2/27/1900,Cunard Line,2,108
242,12772,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,LUNCH,COMMERCIAL,"S.S. ""COPTIC""",3/13/1900,Occidental & Oriental Steamship Co.,2,31
243,12773,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,DINNER,COMMERCIAL,"S.S. ""COPTIC""",3/13/1900,Occidental & Oriental Steamship Co.,4,34
244,12774,SAVOY HOTEL,MENU,COMMERCIAL,"NEW YORK, NY",3/14/1900,Savoy Hotel,2,144
246,12776,HAMBURG-AMERIKA LINIE,LUNCH,COMMERCIAL,EN ROUTE ABOARD SCHNELLDAMPMER (EXPRESS STEAMER) AUGUSTE VICTORIA,3/14/1900,Hamburg Amerika Linie,2,20
247,12778,CUNARD LINE,[DINNER],COMMERCIAL,R.M.S. CAMPANIA,2/12/1900,Cunard Line,2,88
248,12780,HAMBURG-AMERIKA LINIE,DAILY MENU,COMMERCIAL,"SCHNELLDAMPFERS ""AUGUST VICTORIA""",2/12/1900,Hamburg Amerika Linie,2,26
249,12781,BROADWAY CENTRAL HOTEL,DINNER MENU,COMMERCIAL,"NEW YORK, NY",2/12/1900,Broadway Central Hotel,4,63
250,12782,EMPIRE HOTEL,DINNER MENU,COMMERCIAL,"NEW YORK, NY",1/12/1900,Empire Hotel,4,300
251,12783,COLONIAL HOTEL,MENU,COMMERCIAL,"NEW YORK, NY",2/12/1900,Colonial Hotel,4,378
252,12784,MINOT HOTEL,CAFE & RESTAURANT MENU,COMMERCIAL,"NEW YORK, NY",2/12/1900,Minot Hotel,4,322
253,12786,PENNSYLVANIA TOURS TO THE GOLDEN GATE,LUNCHEON,COMMERCIAL,PULLMAN DINING CAR CASA MONICA,1/1/1900,Pennsylvania Tours To The Golden Gate,2,32
255,12788,SULLIVAN'S RESTAURANT,BILL OF FARE,COMMERCIAL,[2351 3RD AVE. NEAR 128TH ST],2/12/1900,Sullivan's Restaurant,2,109
256,12789,CAFETERIA LUNCH,BILL OF FARE,COMMERCIAL,"57 BROAD ST., NEW YORK, NY",2/13/1900,Cafeteria Lunch,4,115
257,12790,PENNSYLVANIA RAILROAD,PERSONALLY CONDUCTED TOUR THROUGH MEXICO AND CALFIORNIA - BREAKFAST,COMMERCIAL,PULLMAN SERVICE EN ROUTE,2/13/1900,Pennsylvania Railroad,2,26
258,12792,EVELYN RESTAURANT,TABLE D'HOTE LUNCH,COMMERCIAL,"CORNER 78TH ST., OPPOSITE MUSEUM OF NATURAL HISTORY, NEW YORK, NY",2/13/1900,Evelyn Restaurant,2,10
259,12793,MARIE ANTOINETTE HOTEL,LUNCHEON MENU,COMMERCIAL,"NEW YORK, NY",2/13/1900,Marie Antoinette Hotel,2,82
260,12794,HOTEL ALMS,DINNER,COMMERCIAL,"CINCINNATI,OH",4/3/1900,Hotel Alms,2,24
262,12797,GRAND HOTEL,LUNCH,COMMERCIAL,"NAPLES,[ITALY]",4/4/1900,Grand Hotel,2,11
263,12798,BAPTIST SOCIAL UNION,DINNER,RELIG;,"HOTEL MANHATTAN,NY",4/5/1900,Baptist Social Union,4,19
264,12799,MILLS HOTEL RESTAURANT,DINNER,COMMERCIAL,"BLEECKER,THOMPSON,AND SULLIVAN STREETS,[NY]",4/5/1900,Mills Hotel Restaurant,2,21
265,12800,GRAND HOTEL,DINNER,COMMERCIAL,"NAPLES,[ITALY]",4/5/1900,Grand Hotel,2,11
266,12801,OCCIDENTAL & ORIENTAL STEAMSHIP CO.,DINNER,COMMERCIAL,SS DORIC,4/5/1900,Occidental & Oriental Steamship Co.,6,46
267,12802,ROUND TABLE CLUB,[DINNER],[SOC];,ROUND TABLE CLUB,4/6/1900,Round Table Club,2,21
268,12803,MILLS HOTEL RESTAURANT,BILL OF FARE/BREAKFAST/DINNER,COMMERCIAL,"BLEECKER, THOMPSON AND SULLIVAN STREETS, ENTRANCE ON BLEECKER STREET, [NEW YORK, NY];",4/6/1900,Mills Hotel Restaurant,2,46
269,12804,UNION LEAGUE CLUB,CARTE DU JOUR,SOC;,"[NEW YORK, NY]",4/7/1900,Union League Club,2,171
270,12805,(UNION LEAGUE CLUB),TABLE D'HOTE DINNER,SOC;,"[NEW YORK, NY]",4/7/1900,Union League Club,2,17
271,12806,SHERIDAN SQUARE HOTEL,[DINNER],COMMERCIAL,"NEW YORK, [NY];",4/7/1900,Sheridan Square Hotel,2,32
